<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,370
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,300
GAZP,0,20230310,095951,160.500000000,1000
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,40
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,180
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,1000
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,300
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,150
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,3000
GAZP,0,20230310,095951,160.500000000,200
GAZP,0,20230310,095951,160.500000000,70
GAZP,0,20230310,095951,160.500000000,130
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,150
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,250
GAZP,0,20230310,095951,160.500000000,200
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,650
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,40
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,200
GAZP,0,20230310,095951,160.500000000,840
GAZP,0,20230310,095951,160.500000000,160
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,200
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,820
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,1500
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,190
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,520
GAZP,0,20230310,095951,160.500000000,1480
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,60
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,200
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,1000
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,700
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,80
GAZP,0,20230310,095951,160.500000000,110
GAZP,0,20230310,095951,160.500000000,770
GAZP,0,20230310,095951,160.500000000,750
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,510
GAZP,0,20230310,095951,160.500000000,7660
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,690
GAZP,0,20230310,095951,160.500000000,130
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,70
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,300
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,900
GAZP,0,20230310,095951,160.500000000,3500
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,600
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,50
GAZP,0,20230310,095951,160.500000000,270
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,2630
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,100
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,580
GAZP,0,20230310,095951,160.500000000,3920
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,300
GAZP,0,20230310,095951,160.500000000,5690
GAZP,0,20230310,095951,160.500000000,3000
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,2500
GAZP,0,20230310,095951,160.500000000,1800
GAZP,0,20230310,095951,160.500000000,400
GAZP,0,20230310,095951,160.500000000,10
GAZP,0,20230310,095951,160.500000000,16100
GAZP,0,20230310,095951,160.500000000,30
GAZP,0,20230310,095951,160.500000000,20
GAZP,0,20230310,095951,160.500000000,500
GAZP,0,20230310,095951,160.500000000,3350
GAZP,0,20230310,100000,160.500000000,1000
GAZP,0,20230310,100000,160.500000000,400
GAZP,0,20230310,100000,160.500000000,1000
GAZP,0,20230310,100000,160.500000000,1250
GAZP,0,20230310,100000,160.500000000,50
GAZP,0,20230310,100000,160.500000000,30
GAZP,0,20230310,100000,160.500000000,10
GAZP,0,20230310,100000,160.500000000,660
GAZP,0,20230310,100000,160.510000000,100
GAZP,0,20230310,100000,160.510000000,100
GAZP,0,20230310,100000,160.510000000,500
GAZP,0,20230310,100000,160.510000000,700
GAZP,0,20230310,100000,160.500000000,340
GAZP,0,20230310,100000,160.500000000,100
GAZP,0,20230310,100000,160.500000000,30
GAZP,0,20230310,100000,160.500000000,30
GAZP,0,20230310,100000,160.500000000,100
GAZP,0,20230310,100000,160.500000000,20
GAZP,0,20230310,100000,160.500000000,100
GAZP,0,20230310,100000,160.500000000,10
GAZP,0,20230310,100000,160.500000000,50
GAZP,0,20230310,100000,160.500000000,520
GAZP,0,20230310,100000,160.500000000,1000
GAZP,0,20230310,100000,160.510000000,400
GAZP,0,20230310,100000,160.510000000,600
GAZP,0,20230310,100000,160.510000000,400
GAZP,0,20230310,100000,160.500000000,1600
GAZP,0,20230310,100000,160.510000000,240
GAZP,0,20230310,100000,160.500000000,690
GAZP,0,20230310,100000,160.500000000,1190
GAZP,0,20230310,100000,160.500000000,810
GAZP,0,20230310,100000,160.500000000,190
GAZP,0,20230310,100000,160.500000000,60
GAZP,0,20230310,100000,160.500000000,1000
GAZP,0,20230310,100000,160.500000000,500
GAZP,0,20230310,100000,160.500000000,10
GAZP,0,20230310,100000,160.490000000,740
GAZP,0,20230310,100000,160.490000000,10
GAZP,0,20230310,100000,160.480000000,10
GAZP,0,20230310,100000,160.470000000,2220
GAZP,0,20230310,100000,160.440000000,50
GAZP,0,20230310,100000,160.440000000,230
GAZP,0,20230310,100000,160.440000000,20
GAZP,0,20230310,100000,160.480000000,30
GAZP,0,20230310,100000,160.480000000,10
GAZP,0,20230310,100000,160.440000000,120
GAZP,0,20230310,100000,160.440000000,10
GAZP,0,20230310,100000,160.430000000,10
GAZP,0,20230310,100000,160.430000000,160
GAZP,0,20230310,100000,160.430000000,100
GAZP,0,20230310,100000,160.430000000,130
GAZP,0,20230310,100000,160.410000000,20
GAZP,0,20230310,100000,160.410000000,10
GAZP,0,20230310,100000,160.400000000,10
GAZP,0,20230310,100000,160.400000000,10
GAZP,0,20230310,100000,160.400000000,30
GAZP,0,20230310,100000,160.400000000,100
GAZP,0,20230310,100000,160.390000000,90
GAZP,0,20230310,100000,160.390000000,100
GAZP,0,20230310,100000,160.390000000,100
GAZP,0,20230310,100000,160.480000000,20
GAZP,0,20230310,100000,160.390000000,710
GAZP,0,20230310,100000,160.380000000,20
GAZP,0,20230310,100000,160.380000000,2220
GAZP,0,20230310,100000,160.370000000,100
GAZP,0,20230310,100000,160.350000000,10
GAZP,0,20230310,100000,160.340000000,10
GAZP,0,20230310,100000,160.340000000,1000
GAZP,0,20230310,100000,160.310000000,10
GAZP,0,20230310,100000,160.310000000,3000
GAZP,0,20230310,100000,160.310000000,250
GAZP,0,20230310,100000,160.300000000,70
GAZP,0,20230310,100000,160.300000000,100
GAZP,0,20230310,100000,160.300000000,10
GAZP,0,20230310,100000,160.300000000,10
GAZP,0,20230310,100000,160.300000000,40
GAZP,0,20230310,100000,160.300000000,50
GAZP,0,20230310,100000,160.300000000,750
GAZP,0,20230310,100000,160.290000000,130
GAZP,0,20230310,100000,160.280000000,100
GAZP,0,20230310,100000,160.270000000,10
GAZP,0,20230310,100000,160.270000000,10
GAZP,0,20230310,100000,160.260000000,200
GAZP,0,20230310,100000,160.260000000,500
GAZP,0,20230310,100000,160.250000000,10
GAZP,0,20230310,100000,160.250000000,50
GAZP,0,20230310,100000,160.250000000,10
GAZP,0,20230310,100000,160.250000000,90
GAZP,0,20230310,100000,160.240000000,10
GAZP,0,20230310,100000,160.230000000,200
GAZP,0,20230310,100000,160.220000000,10
GAZP,0,20230310,100000,160.220000000,10
GAZP,0,20230310,100000,160.220000000,10
GAZP,0,20230310,100000,160.220000000,50
GAZP,0,20230310,100000,160.220000000,10
GAZP,0,20230310,100000,160.220000000,200
GAZP,0,20230310,100000,160.210000000,50
GAZP,0,20230310,100000,160.210000000,600
GAZP,0,20230310,100000,160.210000000,10
GAZP,0,20230310,100000,160.210000000,10
GAZP,0,20230310,100000,160.200000000,100
GAZP,0,20230310,100000,160.200000000,30
GAZP,0,20230310,100000,160.200000000,20
GAZP,0,20230310,100000,160.200000000,400
GAZP,0,20230310,100000,160.200000000,10
GAZP,0,20230310,100000,160.200000000,10
GAZP,0,20230310,100000,160.200000000,40
GAZP,0,20230310,100000,160.200000000,100
GAZP,0,20230310,100000,160.200000000,10
GAZP,0,20230310,100000,160.200000000,500
GAZP,0,20230310,100000,160.200000000,10
GAZP,0,20230310,100000,160.190000000,10
GAZP,0,20230310,100000,160.180000000,100
GAZP,0,20230310,100000,160.180000000,100
GAZP,0,20230310,100000,160.170000000,1000
GAZP,0,20230310,100000,160.170000000,30
GAZP,0,20230310,100000,160.170000000,100
GAZP,0,20230310,100000,160.170000000,400
GAZP,0,20230310,100000,160.160000000,50
GAZP,0,20230310,100000,160.160000000,10
GAZP,0,20230310,100000,160.160000000,10
GAZP,0,20230310,100000,160.160000000,3730
GAZP,0,20230310,100000,160.150000000,10000
GAZP,0,20230310,100000,160.150000000,100
GAZP,0,20230310,100000,160.140000000,130
GAZP,0,20230310,100000,160.130000000,10
GAZP,0,20230310,100000,160.130000000,100
GAZP,0,20230310,100000,160.130000000,10
GAZP,0,20230310,100000,160.120000000,10
GAZP,0,20230310,100000,160.120000000,220
GAZP,0,20230310,100000,160.120000000,50
GAZP,0,20230310,100000,160.120000000,500
GAZP,0,20230310,100000,160.110000000,250
GAZP,0,20230310,100000,160.110000000,20
GAZP,0,20230310,100000,160.110000000,10
GAZP,0,20230310,100000,160.110000000,100
GAZP,0,20230310,100000,160.110000000,100
GAZP,0,20230310,100000,160.110000000,980
GAZP,0,20230310,100000,160.160000000,100
GAZP,0,20230310,100000,160.470000000,20
GAZP,0,20230310,100000,160.160000000,10
GAZP,0,20230310,100000,160.450000000,150
GAZP,0,20230310,100000,160.160000000,100
GAZP,0,20230310,100000,160.160000000,200
GAZP,0,20230310,100000,160.160000000,80
GAZP,0,20230310,100000,160.460000000,150
GAZP,0,20230310,100000,160.180000000,1000
GAZP,0,20230310,100000,160.470000000,10
GAZP,0,20230310,100000,160.190000000,100
GAZP,0,20230310,100000,160.190000000,380
